metric,seed,task,prediction_file,model,source_family,n_samples,recomputed_test_score,candidate_count,candidate_count_definition,selection_budget,prediction_evidence_note
AUROC,303,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/validation_top3_average_seed_303.csv,validation_top3_average,controlled_three_view_pool,406,0.874335522201376,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,404,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/validation_top3_average_seed_404.csv,validation_top3_average,controlled_three_view_pool,406,0.8788500625390869,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,505,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/validation_top3_average_seed_505.csv,validation_top3_average,controlled_three_view_pool,406,0.8815079737335835,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,101,bioavailability_ma,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_flaml_matched_v1/final/predictions/bioavailability_ma/seed_101.csv,flaml_automl,matched_budget_automl,128,0.6148985700033255,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision
AUROC,202,bioavailability_ma,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_flaml_matched_v1/final/predictions/bioavailability_ma/seed_202.csv,flaml_automl,matched_budget_automl,128,0.611572996341869,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision
AUROC,303,bioavailability_ma,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_flaml_matched_v1/final/predictions/bioavailability_ma/seed_303.csv,flaml_automl,matched_budget_automl,128,0.6381775856335218,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision
AUROC,404,bioavailability_ma,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_flaml_matched_v1/final/predictions/bioavailability_ma/seed_404.csv,flaml_automl,matched_budget_automl,128,0.6521449950116396,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision
AUROC,505,bioavailability_ma,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_flaml_matched_v1/final/predictions/bioavailability_ma/seed_505.csv,flaml_automl,matched_budget_automl,128,0.565513801130695,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision
AUROC,101,bioavailability_ma,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bioavailability_ma/global_single_seed_101.csv,global_single,controlled_three_view_pool,128,0.6782507482540738,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,202,bioavailability_ma,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bioavailability_ma/global_single_seed_202.csv,global_single,controlled_three_view_pool,128,0.659461257066844,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
