task,metric,model,seed,candidate_count,selection_budget,selected_recipe,selected_automl_config,test_score,prediction_file
bbb_martins,AUROC,uniform_candidate_average,404,9,0,,,0.9056050656660412,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/uniform_candidate_average_seed_404.csv
bbb_martins,AUROC,validation_stacking,404,9,0,,,0.8262585991244528,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/validation_stacking_seed_404.csv
bbb_martins,AUROC,common_pool_taskwise_selector,404,9,6,validation_top2_average,,0.921904315196998,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/common_pool_taskwise_selector_seed_404.csv
bbb_martins,AUROC,common_pool_automl,404,9,6,,5.0,0.8789477798624139,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/common_pool_automl_seed_404.csv
bbb_martins,AUROC,global_single,505,9,0,,,0.9030253283302064,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/global_single_seed_505.csv
bbb_martins,AUROC,per_task_single,505,9,0,,,0.9030253283302064,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/per_task_single_seed_505.csv
bbb_martins,AUROC,validation_top2_average,505,9,0,,,0.9153767979987492,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/validation_top2_average_seed_505.csv
bbb_martins,AUROC,validation_top3_average,505,9,0,,,0.9044324577861164,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/validation_top3_average_seed_505.csv
bbb_martins,AUROC,uniform_candidate_average,505,9,0,,,0.8984912445278298,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/uniform_candidate_average_seed_505.csv
bbb_martins,AUROC,validation_stacking,505,9,0,,,0.8504924953095685,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/validation_stacking_seed_505.csv
bbb_martins,AUROC,common_pool_taskwise_selector,505,9,6,validation_top2_average,,0.9153767979987492,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/bbb_martins/common_pool_taskwise_selector_seed_505.csv
