task,metric,reference_model,comparator_model,reference_seeds,comparator_seeds,reference_seed_count,comparator_seed_count,paired_seed_ids,n_samples,reference_score,comparator_score,improvement,ci95_lower,ci95_upper,p_value_two_sided,bootstrap_replicates_valid,resampling_mode,seed_resampling,reference_seed_uncertainty_available,comparator_seed_uncertainty_available,p_value_bh_fdr,significant_fdr_0_05
cyp2d6_substrate_carbonmangels,AUPRC,common_pool_taskwise_selector,global_single,101;202;303;404;505,101;202;303;404;505,5,5,True,135,0.692349090357385,0.6855568995580184,0.0067921907993666,-0.0165755625397832,0.0267266794869926,0.3743625637436256,10000,hierarchical_seed_and_sample,paired,True,True,0.7297700609685867,False
cyp2d6_substrate_carbonmangels,AUPRC,common_pool_taskwise_selector,per_task_single,101;202;303;404;505,101;202;303;404;505,5,5,True,135,0.692349090357385,0.7026971077664207,-0.0103480174090356,-0.0322479970473027,0.0117694906253201,0.3557644235576442,10000,hierarchical_seed_and_sample,paired,True,True,0.7283271672832716,False
cyp2d6_substrate_carbonmangels,AUPRC,common_pool_taskwise_selector,uniform_candidate_average,101;202;303;404;505,101;202;303;404;505,5,5,True,135,0.692349090357385,0.688510573157628,0.003838517199757,-0.0561968723795921,0.0683284936828352,0.7409259074092591,10000,hierarchical_seed_and_sample,paired,True,True,1.0,False
cyp2d6_substrate_carbonmangels,AUPRC,common_pool_taskwise_selector,validation_stacking,101;202;303;404;505,101;202;303;404;505,5,5,True,135,0.692349090357385,0.5868355366705379,0.1055135536868471,0.0035823989279956,0.2002295834505069,0.0403959604039596,10000,hierarchical_seed_and_sample,paired,True,True,0.1294727670090134,False
cyp2d6_substrate_carbonmangels,AUPRC,common_pool_taskwise_selector,validation_top2_average,101;202;303;404;505,101;202;303;404;505,5,5,True,135,0.692349090357385,0.692349090357385,0.0,0.0,0.0,1.0,10000,hierarchical_seed_and_sample,paired,True,True,1.0,False
cyp2d6_substrate_carbonmangels,AUPRC,common_pool_taskwise_selector,validation_top3_average,101;202;303;404;505,101;202;303;404;505,5,5,True,135,0.692349090357385,0.6848944997919517,0.0074545905654332,-0.0242932508958838,0.0464594399789449,0.5335466453354665,10000,hierarchical_seed_and_sample,paired,True,True,0.8835073481899123,False
cyp2d6_veith,AUPRC,common_pool_taskwise_selector,common_pool_automl,101;202;303;404;505,101;202;303;404;505,5,5,True,2626,0.7116298351477092,0.7107540599395047,0.0008757752082044,-0.0006367338439046,0.0018795636485572,0.2911708829117088,10000,hierarchical_seed_and_sample,paired,True,True,0.6405759424057594,False
cyp2d6_veith,AUPRC,common_pool_taskwise_selector,global_single,101;202;303;404;505,101;202;303;404;505,5,5,True,2626,0.7116298351477092,0.6932964175178312,0.0183334176298779,-0.0003204594678222,0.0378924631047193,0.0533946605339466,10000,hierarchical_seed_and_sample,paired,True,True,0.1581303408120726,False
cyp2d6_veith,AUPRC,common_pool_taskwise_selector,per_task_single,101;202;303;404;505,101;202;303;404;505,5,5,True,2626,0.7116298351477092,0.7021090148125569,0.0095208203351522,-0.0046772743075453,0.0240133325126858,0.1761823817618238,10000,hierarchical_seed_and_sample,paired,True,True,0.4677945998503598,False
cyp2d6_veith,AUPRC,common_pool_taskwise_selector,uniform_candidate_average,101;202;303;404;505,101;202;303;404;505,5,5,True,2626,0.7116298351477092,0.6677446655740824,0.0438851695736267,0.028486010282777,0.0634888107053271,0.0001999800019998,10000,hierarchical_seed_and_sample,paired,True,True,0.0021997800219978,True
