task,metric,model,score_mean,score_sd,n_seeds
pgp_broccatelli,AUROC,common_pool_automl,0.9193615035990405,0.0072884762997297,5
pgp_broccatelli,AUROC,common_pool_taskwise_selector,0.929285523860304,0.0023260368390582,5
pgp_broccatelli,AUROC,global_single,0.929285523860304,0.0023260368390582,5
pgp_broccatelli,AUROC,per_task_single,0.929285523860304,0.0023260368390582,5
pgp_broccatelli,AUROC,uniform_candidate_average,0.9379365502532656,0.0036469797134792,5
pgp_broccatelli,AUROC,validation_stacking,0.9307118101839508,0.0101083105549794,5
pgp_broccatelli,AUROC,validation_top2_average,0.9329778725673152,0.0007264423670188,5
pgp_broccatelli,AUROC,validation_top3_average,0.9361503599040256,0.0007715167223933,5
ppbr_az,MAE,common_pool_automl,9.18682838661478,0.0846469202144242,5
ppbr_az,MAE,common_pool_taskwise_selector,9.882001348635589,0.2207699003295759,5
ppbr_az,MAE,global_single,9.195011191413238,0.112452844640045,5
ppbr_az,MAE,per_task_single,9.195011191413238,0.112452844640045,5
ppbr_az,MAE,uniform_candidate_average,8.806942397932819,0.0146321032085523,5
ppbr_az,MAE,validation_stacking,9.882001348635589,0.2207699003295759,5
ppbr_az,MAE,validation_top2_average,8.516671827012523,0.0734582447978315,5
ppbr_az,MAE,validation_top3_average,8.70365891854502,0.0669327193204592,5
solubility_aqsoldb,MAE,common_pool_automl,0.837351473061592,0.0040094287805621,5
solubility_aqsoldb,MAE,common_pool_taskwise_selector,0.8202436389684321,0.0027224238633563,5
solubility_aqsoldb,MAE,global_single,0.8383183852196412,0.0030527705113805,5
solubility_aqsoldb,MAE,per_task_single,0.8383183852196412,0.0030527705113805,5
solubility_aqsoldb,MAE,uniform_candidate_average,0.7945879504340052,0.000573585985744,5
solubility_aqsoldb,MAE,validation_stacking,0.8423814576949434,0.0052474022282768,5
solubility_aqsoldb,MAE,validation_top2_average,0.8202436389684321,0.0027224238633563,5
solubility_aqsoldb,MAE,validation_top3_average,0.8231875814344434,0.0022592935269535,5
vdss_lombardo,Spearman,common_pool_automl,0.2247721083696058,0.0128087424455439,5
vdss_lombardo,Spearman,common_pool_taskwise_selector,0.3014078126330647,0.01692137856428,5
vdss_lombardo,Spearman,global_single,0.4196383845497954,0.0242071053173631,5
vdss_lombardo,Spearman,per_task_single,0.4570863339950263,0.0131220791005511,5
vdss_lombardo,Spearman,uniform_candidate_average,0.1194602271610304,0.0084075848770711,5
vdss_lombardo,Spearman,validation_stacking,0.2247721083696058,0.0128087424455439,5
vdss_lombardo,Spearman,validation_top2_average,0.4340048708847862,0.0282301646873524,5
vdss_lombardo,Spearman,validation_top3_average,0.3014078126330647,0.01692137856428,5
