record_type,task,metric,reference_model,comparator_model,reference_seeds,comparator_seeds,n_samples,reference_score,comparator_score,improvement,ci95_lower,ci95_upper,p_value_two_sided,bootstrap_replicates_valid,p_value_bh_fdr,significant_fdr_0_05,descriptor,group,threshold_task_median,positive_n,prevalence,metric_valid,validity_reason,bootstrap_replicates_requested
property_subgroup,cyp2d6_substrate_carbonmangels,AUPRC,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,68,0.7022224273728712,0.5092838874680307,0.1929385399048405,0.0476310405875837,0.3535270195190271,0.0117988201179882,10000.0,0.0179726213425169,True,clogp,low_or_equal_median,3.1938000000000004,17.0,0.25,True,valid,10000.0
property_subgroup,cyp2d6_substrate_carbonmangels,AUPRC,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,67,0.7970950599903476,0.5446029620629198,0.2524920979274277,0.1408193950332922,0.3629905980241656,0.0001999800019998,10000.0,0.0004030366194149,True,clogp,above_median,3.1938000000000004,26.0,0.3880597014925373,True,valid,10000.0
property_subgroup,cyp2d6_substrate_carbonmangels,AUPRC,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,68,0.8230823686549746,0.5842436795720292,0.2388386890829454,0.125779266382575,0.3509032773133203,0.0001999800019998,10000.0,0.0004030366194149,True,tpsa,low_or_equal_median,57.28,27.0,0.3970588235294117,True,valid,10000.0
property_subgroup,cyp2d6_substrate_carbonmangels,AUPRC,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,67,0.6658853633299198,0.3870140504798098,0.2788713128501099,0.1149487420936099,0.4276895968937695,0.0027997200279972,10000.0,0.0049562611306436,True,tpsa,above_median,57.28,16.0,0.2388059701492537,True,valid,10000.0
property_subgroup,cyp2d6_veith,AUPRC,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,1313,0.646368644571453,0.4656247620313496,0.1807438825401033,0.134610017922249,0.2262693415653186,0.0001999800019998,10000.0,0.0004030366194149,True,molecular_weight,low_or_equal_median,319.43000000000006,174.0,0.1325209444021325,True,valid,10000.0
property_subgroup,cyp2d6_veith,AUPRC,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,1313,0.7714297691604284,0.5637086505117002,0.2077211186487282,0.1604012143199659,0.254079105147321,0.0001999800019998,10000.0,0.0004030366194149,True,molecular_weight,above_median,319.43000000000006,269.0,0.2048743335872049,True,valid,10000.0
property_subgroup,cyp2d6_veith,AUPRC,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,1313,0.4553033828849507,0.2512091126826327,0.204094270202318,0.1402529822289838,0.2715714234782889,0.0001999800019998,10000.0,0.0004030366194149,True,clogp,low_or_equal_median,2.520170000000001,94.0,0.0715917745620716,True,valid,10000.0
property_subgroup,cyp2d6_veith,AUPRC,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,1313,0.7829308861260345,0.6055393206707825,0.1773915654552519,0.1391887220090426,0.2157936582437025,0.0001999800019998,10000.0,0.0004030366194149,True,clogp,above_median,2.520170000000001,349.0,0.2658035034272658,True,valid,10000.0
property_subgroup,cyp2d6_veith,AUPRC,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,1313,0.7713879971970603,0.5821179972457811,0.1892699999512792,0.1502539145666593,0.2286854076774152,0.0001999800019998,10000.0,0.0004030366194149,True,tpsa,low_or_equal_median,70.18,318.0,0.2421934501142422,True,valid,10000.0
property_subgroup,cyp2d6_veith,AUPRC,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,1313,0.5893003587754797,0.3604387718176942,0.2288615869577854,0.1619642780092825,0.2941218520998814,0.0001999800019998,10000.0,0.0004030366194149,True,tpsa,above_median,70.18,125.0,0.0952018278750952,True,valid,10000.0
