task,variant,metric,direction,n_runs,score_mean,score_std,top1_ref,direction_normalized_margin,delta_margin_vs_full,diagnostic_margin_ge_0,selected_candidate,selected_endpoint_config,valid_metric_used_for_selection,valid_score,test_score_source_file,selection_protocol,uses_chemistry_sidecar,uses_ept_or_3d,uses_prediction_level_ensemble,uses_seedbag,missing_reason
herg,no_chemistry_sidecar,AUROC,max,5,0.7354344624447717,0.0243344698601934,0.88,-0.1445655375552282,-0.1279235375552282,False,deep_kpgt_ept_ridge_linear,KPGT+EPT embeddings + target-standardized Ridge/linear head,AUROC,0.7916666666666667,results_strict/ablation_v36_formal/candidate_predictions/deep_kpgt_ept_ridge_linear/herg/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,True,False,False,
hia_hou,no_chemistry_sidecar,AUROC,max,5,0.9066666666666666,0.0188670898177037,0.993,-0.0863333333333333,-0.0876133333333334,False,deep_kpgt_ept_ridge_linear,KPGT+EPT embeddings + target-standardized Ridge/linear head,AUROC,0.92375,results_strict/ablation_v36_formal/candidate_predictions/deep_kpgt_ept_ridge_linear/hia_hou/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,True,False,False,
ld50_zhu,no_chemistry_sidecar,MAE,min,5,0.704358148056051,0.0,0.552,-0.1523581480560509,-0.1012871480560509,False,deep_ept_ridge_linear,EPT/3D embedding + target-standardized Ridge/linear head,MAE,0.6619376488716625,results_strict/ablation_v36_formal/candidate_predictions/deep_ept_ridge_linear/ld50_zhu/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,True,False,False,
lipophilicity_astrazeneca,no_chemistry_sidecar,MAE,min,5,0.5572363431113107,0.0,0.456,-0.1012363431113106,-0.0843413431113106,False,deep_kpgt_ept_ridge_linear,KPGT+EPT embeddings + target-standardized Ridge/linear head,MAE,0.6069383616220383,results_strict/ablation_v36_formal/candidate_predictions/deep_kpgt_ept_ridge_linear/lipophilicity_astrazeneca/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,True,False,False,
pgp_broccatelli,no_chemistry_sidecar,AUROC,max,5,0.8001999466808852,0.0353137938024883,0.938,-0.1378000533191147,-0.1381630533191147,False,deep_ept_ridge_linear,EPT/3D embedding + target-standardized Ridge/linear head,AUROC,0.8193496371943025,results_strict/ablation_v36_formal/candidate_predictions/deep_ept_ridge_linear/pgp_broccatelli/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,True,False,False,
ppbr_az,no_chemistry_sidecar,MAE,min,5,9.952255878968826,0.0,7.44,-2.512255878968825,-2.621638878968826,False,deep_ept_ridge_linear,EPT/3D embedding + target-standardized Ridge/linear head,MAE,13.43795247493252,results_strict/ablation_v36_formal/candidate_predictions/deep_ept_ridge_linear/ppbr_az/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,True,False,False,
solubility_aqsoldb,no_chemistry_sidecar,MAE,min,5,0.9294352167590724,0.0,0.741,-0.1884352167590723,-0.1909922167590724,False,deep_ept_ridge_linear,EPT/3D embedding + target-standardized Ridge/linear head,MAE,1.28611785144462,results_strict/ablation_v36_formal/candidate_predictions/deep_ept_ridge_linear/solubility_aqsoldb/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,True,False,False,
vdss_lombardo,no_chemistry_sidecar,Spearman,max,5,0.1447969357523272,0.0,0.713,-0.5682030642476728,-0.5161980642476728,False,deep_ept_ridge_linear,EPT/3D embedding + target-standardized Ridge/linear head,Spearman,0.4328605910767017,results_strict/ablation_v36_formal/candidate_predictions/deep_ept_ridge_linear/vdss_lombardo/seed_*/test_predictions.csv,"Per-task valid-only selection among deep candidates only: ChemBERTa, KPGT, EPT, C+K, K+E, C+K+E. No fingerprint/descriptor/XGB/ExtraTrees/LogisticRegression/tabular chemistry sidecar.",False,True,False,False,
ames,no_ept_or_no_3d,AUROC,max,5,0.8552409485206288,0.0018591938264062,0.871,-0.0157590514793711,-0.0167040514793711,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUROC,0.7984294788407966,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/ames/seed_*/test_predictions.csv,"Per-task valid-only selection among candidates without EPT/3D: ChemBERTa, KPGT, C+K, and chemistry sidecars without EPT.",True,False,False,False,
bbb_martins,no_ept_or_no_3d,AUROC,max,5,0.917956535334584,0.0045760094993455,0.924,-0.006043464665416,-0.009822464665416,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUROC,0.91055182699478,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/bbb_martins/seed_*/test_predictions.csv,"Per-task valid-only selection among candidates without EPT/3D: ChemBERTa, KPGT, C+K, and chemistry sidecars without EPT.",True,False,False,False,
bioavailability_ma,no_ept_or_no_3d,AUROC,max,5,0.6442966411706019,0.0089407848427836,0.942,-0.297703358829398,-0.077951358829398,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUROC,0.7269102990033223,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/bioavailability_ma/seed_*/test_predictions.csv,"Per-task valid-only selection among candidates without EPT/3D: ChemBERTa, KPGT, C+K, and chemistry sidecars without EPT.",True,False,False,False,
caco2_wang,no_ept_or_no_3d,MAE,min,5,0.3264913979323167,0.0084875913789111,0.256,-0.0704913979323167,-0.0428443979323167,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,MAE,0.4296740733309901,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/caco2_wang/seed_*/test_predictions.csv,"Per-task valid-only selection among candidates without EPT/3D: ChemBERTa, KPGT, C+K, and chemistry sidecars without EPT.",True,False,False,False,
clearance_hepatocyte_az,no_ept_or_no_3d,Spearman,max,5,0.4586648251126538,0.0146235841763766,0.536,-0.0773351748873462,-0.0933751748873461,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Spearman,0.3936677606371278,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/clearance_hepatocyte_az/seed_*/test_predictions.csv,"Per-task valid-only selection among candidates without EPT/3D: ChemBERTa, KPGT, C+K, and chemistry sidecars without EPT.",True,False,False,False,
clearance_microsome_az,no_ept_or_no_3d,Spearman,max,5,0.4382440419419504,5.235539490165512e-05,0.63,-0.1917559580580495,-0.2045699580580495,False,deep_kpgt_ridge_linear,KPGT embedding + target-standardized Ridge/linear head,Spearman,0.5495150559800346,results_strict/ablation_v36_formal/candidate_predictions/deep_kpgt_ridge_linear/clearance_microsome_az/seed_*/test_predictions.csv,"Per-task valid-only selection among candidates without EPT/3D: ChemBERTa, KPGT, C+K, and chemistry sidecars without EPT.",False,False,False,False,
cyp2c9_substrate_carbonmangels,no_ept_or_no_3d,AUPRC,max,5,0.4368494179672496,0.018633426367039,0.474,-0.0371505820327503,-0.0065205820327503,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUPRC,0.3844024003468874,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/cyp2c9_substrate_carbonmangels/seed_*/test_predictions.csv,"Per-task valid-only selection among candidates without EPT/3D: ChemBERTa, KPGT, C+K, and chemistry sidecars without EPT.",True,False,False,False,
cyp2c9_veith,no_ept_or_no_3d,AUPRC,max,5,0.7710219942765797,0.0023590094440746,0.859,-0.0879780057234203,-0.0195640057234203,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUPRC,0.786004621952092,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/cyp2c9_veith/seed_*/test_predictions.csv,"Per-task valid-only selection among candidates without EPT/3D: ChemBERTa, KPGT, C+K, and chemistry sidecars without EPT.",True,False,False,False,
cyp2d6_substrate_carbonmangels,no_ept_or_no_3d,AUPRC,max,5,0.7021059512272266,0.0133283670343022,0.736,-0.0338940487727733,-0.0454250487727733,False,chem_fp_chemberta_kpgt_xgb,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,AUPRC,0.5462979558276735,results_strict/ablation_v36_formal/candidate_predictions/chem_fp_chemberta_kpgt_xgb/cyp2d6_substrate_carbonmangels/seed_*/test_predictions.csv,"Per-task valid-only selection among candidates without EPT/3D: ChemBERTa, KPGT, C+K, and chemistry sidecars without EPT.",True,False,False,False,
