task,metric,reference_model,comparator_model,reference_seeds,comparator_seeds,n_samples,reference_score,comparator_score,improvement,ci95_lower,ci95_upper,p_value_two_sided,bootstrap_replicates_valid,p_value_bh_fdr,significant_fdr_0_05
clearance_microsome_az,Spearman,trimole_hybrid,oof_stacking,5;15;25;35;45,101;202;303;404;505,221,0.6443869808313402,0.5062490715585996,0.1381379092727406,0.06085792113778502,0.2176513156415984,0.0007999200079992001,10000,0.0014159503589870899,True
clearance_microsome_az,Spearman,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,221,0.6443869808313402,0.3076166726578927,0.33677030817344744,0.21991307363283205,0.4561537013118491,0.00019998000199980003,10000,0.00040522263563117373,True
clearance_microsome_az,Spearman,trimole_hybrid,uniform_average,5;15;25;35;45,101;202;303;404;505,221,0.6443869808313402,0.4761660101665623,0.16822097066477787,0.07858995964005236,0.2591578493708132,0.00019998000199980003,10000,0.00040522263563117373,True
clearance_microsome_az,Spearman,trimole_hybrid,validation_top2_average,5;15;25;35;45,101;202;303;404;505,221,0.6443869808313402,0.47318173502648764,0.17120524580485252,0.08908694785524596,0.25650186997635765,0.00019998000199980003,10000,0.00040522263563117373,True
clearance_microsome_az,Spearman,trimole_hybrid,validation_top3_average,5;15;25;35;45,101;202;303;404;505,221,0.6443869808313402,0.4761660101665623,0.16822097066477787,0.07862524127490152,0.2597274058822297,0.00039996000399960006,10000,0.0007511443977553465,True
cyp2c9_substrate_carbonmangels,AUPRC,trimole_hybrid,flaml_automl,101;202;303;404;505,101;202;303;404;505,135,0.4337916436260892,0.388586303340579,0.04520534028551021,-0.02821155905024601,0.14417391064272092,0.2273772622737726,10000,0.25191437690763296,False
cyp2c9_substrate_carbonmangels,AUPRC,trimole_hybrid,global_single,101;202;303;404;505,101;202;303;404;505,135,0.4337916436260892,0.34217832630344935,0.09161331732263983,-0.012326653616602944,0.24610354338808776,0.08099190080991901,10000,0.10140449369697177,False
cyp2c9_substrate_carbonmangels,AUPRC,trimole_hybrid,oof_stacking,101;202;303;404;505,101;202;303;404;505,135,0.4337916436260892,0.36832544847072823,0.06546619515536095,-0.01860548229125577,0.17109767734534354,0.1267873212678732,10000,0.15374210610435018,False
cyp2c9_substrate_carbonmangels,AUPRC,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,135,0.4337916436260892,0.3692722207882201,0.0645194228378691,-0.014126056413595081,0.18191929971177456,0.09859014098590141,10000,0.12049906120499061,False
cyp2c9_substrate_carbonmangels,AUPRC,trimole_hybrid,uniform_average,101;202;303;404;505,101;202;303;404;505,135,0.4337916436260892,0.3728149518278469,0.06097669179824228,-0.030929234377598612,0.17404133616285222,0.19538046195380462,10000,0.22454172493198443,False
cyp2c9_substrate_carbonmangels,AUPRC,trimole_hybrid,validation_top2_average,101;202;303;404;505,101;202;303;404;505,135,0.4337916436260892,0.39854763974429763,0.03524400388179155,-0.06066518791759536,0.15777398361012573,0.40775922407759224,10000,0.418632803386328,False
cyp2c9_substrate_carbonmangels,AUPRC,trimole_hybrid,validation_top3_average,101;202;303;404;505,101;202;303;404;505,135,0.4337916436260892,0.3728149518278469,0.06097669179824228,-0.028424978224380525,0.17660302021766583,0.18918108189181082,10000,0.21905177903262305,False
cyp2c9_veith,AUPRC,trimole_hybrid,flaml_automl,101;202;303;404;505,101;202;303;404;505,2419,0.7924603312313264,0.7294530106191107,0.0630073206122157,0.040964969692575674,0.08549792761998566,0.00019998000199980003,10000,0.00040522263563117373,True
cyp2c9_veith,AUPRC,trimole_hybrid,global_single,101;202;303;404;505,101;202;303;404;505,2419,0.7924603312313264,0.6831777082859917,0.10928262294533475,0.079921911383981,0.1381497777237867,0.00019998000199980003,10000,0.00040522263563117373,True
cyp2c9_veith,AUPRC,trimole_hybrid,oof_stacking,101;202;303;404;505,101;202;303;404;505,2419,0.7924603312313264,0.7567286357677394,0.03573169546358701,0.01296277765015405,0.05893627549123121,0.0025997400259974,10000,0.004259148553229783,True
cyp2c9_veith,AUPRC,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,2419,0.7924603312313264,0.6831777082859917,0.10928262294533475,0.0801153363887652,0.1384658419412741,0.00019998000199980003,10000,0.00040522263563117373,True
cyp2c9_veith,AUPRC,trimole_hybrid,uniform_average,101;202;303;404;505,101;202;303;404;505,2419,0.7924603312313264,0.7609358624012753,0.03152446883005111,0.009143273464173356,0.053524796195675,0.0059994000599940004,10000,0.008883727011914193,True
cyp2c9_veith,AUPRC,trimole_hybrid,validation_top2_average,101;202;303;404;505,101;202;303;404;505,2419,0.7924603312313264,0.7453181382572245,0.04714219297410194,0.021692818962950812,0.073186506879045,0.00039996000399960006,10000,0.0007511443977553465,True
cyp2c9_veith,AUPRC,trimole_hybrid,validation_top3_average,101;202;303;404;505,101;202;303;404;505,2419,0.7924603312313264,0.7609358624012753,0.03152446883005111,0.00922863272835745,0.05380734074591017,0.004999500049995001,10000,0.007548264781365002,True
cyp2d6_substrate_carbonmangels,AUPRC,trimole_hybrid,flaml_automl,5;15;25;35;45,101;202;303;404;505,135,0.7477083497822772,0.5739522076465255,0.17375614213575163,0.07024403983999426,0.26904064633736446,0.0013998600139986002,10000,0.0023432439364759177,True
cyp2d6_substrate_carbonmangels,AUPRC,trimole_hybrid,global_single,5;15;25;35;45,101;202;303;404;505,135,0.7477083497822772,0.47101838058958806,0.2766899691926891,0.18755174468214736,0.36688995557755405,0.00019998000199980003,10000,0.00040522263563117373,True
cyp2d6_substrate_carbonmangels,AUPRC,trimole_hybrid,oof_stacking,5;15;25;35;45,101;202;303;404;505,135,0.7477083497822772,0.5874883148017519,0.16022003498052528,0.06429049232921899,0.24546156434260671,0.0013998600139986002,10000,0.0023432439364759177,True
cyp2d6_substrate_carbonmangels,AUPRC,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,135,0.7477083497822772,0.5208769902622983,0.2268313595199789,0.1418950630568142,0.312624446901775,0.00019998000199980003,10000,0.00040522263563117373,True
cyp2d6_substrate_carbonmangels,AUPRC,trimole_hybrid,uniform_average,5;15;25;35;45,101;202;303;404;505,135,0.7477083497822772,0.5730487285565419,0.1746596212257353,0.08096035479615775,0.2644753056230925,0.0007999200079992001,10000,0.0014159503589870899,True
cyp2d6_substrate_carbonmangels,AUPRC,trimole_hybrid,validation_top2_average,5;15;25;35;45,101;202;303;404;505,135,0.7477083497822772,0.5552968277944652,0.19241152198781197,0.11349014322507503,0.26985086101323935,0.00019998000199980003,10000,0.00040522263563117373,True
cyp2d6_substrate_carbonmangels,AUPRC,trimole_hybrid,validation_top3_average,5;15;25;35;45,101;202;303;404;505,135,0.7477083497822772,0.5730487285565419,0.1746596212257353,0.08004348113818045,0.26316755517246226,0.0007999200079992001,10000,0.0014159503589870899,True
cyp2d6_veith,AUPRC,trimole_hybrid,flaml_automl,1;2;3;4;5,101;202;303;404;505,2626,0.7225503496933187,0.6885589533085443,0.03399139638477433,0.018643184434058654,0.04959361127630372,0.00019998000199980003,10000,0.00040522263563117373,True
cyp2d6_veith,AUPRC,trimole_hybrid,global_single,1;2;3;4;5,101;202;303;404;505,2626,0.7225503496933187,0.5251541228990313,0.19739622679428737,0.16464597520273938,0.23082510428329486,0.00019998000199980003,10000,0.00040522263563117373,True
cyp2d6_veith,AUPRC,trimole_hybrid,oof_stacking,1;2;3;4;5,101;202;303;404;505,2626,0.7225503496933187,0.6598767356488154,0.06267361404450322,0.03603526986817056,0.08916168233572493,0.00019998000199980003,10000,0.00040522263563117373,True
cyp2d6_veith,AUPRC,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,2626,0.7225503496933187,0.5251541228990313,0.19739622679428737,0.16444395482961727,0.2308695399487116,0.00019998000199980003,10000,0.00040522263563117373,True
cyp2d6_veith,AUPRC,trimole_hybrid,uniform_average,1;2;3;4;5,101;202;303;404;505,2626,0.7225503496933187,0.6482221707217592,0.07432817897155941,0.04720462396710122,0.10134886473636485,0.00019998000199980003,10000,0.00040522263563117373,True
cyp2d6_veith,AUPRC,trimole_hybrid,validation_top2_average,1;2;3;4;5,101;202;303;404;505,2626,0.7225503496933187,0.6500381865658349,0.07251216312748376,0.046613804277453624,0.09925528951140015,0.00019998000199980003,10000,0.00040522263563117373,True
cyp2d6_veith,AUPRC,trimole_hybrid,validation_top3_average,1;2;3;4;5,101;202;303;404;505,2626,0.7225503496933187,0.6482221707217592,0.07432817897155941,0.04713000314337841,0.10138047375815797,0.00019998000199980003,10000,0.00040522263563117373,True
cyp3a4_substrate_carbonmangels,AUROC,trimole_hybrid,flaml_automl,1;2;3;4;5,101;202;303;404;505,135,0.6653481012658229,0.6570976491862568,0.008250452079566095,-0.056270508916778074,0.0732978851665554,0.7841215878412159,10000,0.7841215878412159,False
cyp3a4_substrate_carbonmangels,AUROC,trimole_hybrid,global_single,1;2;3;4;5,101;202;303;404;505,135,0.6653481012658229,0.6210443037974684,0.044303797468354444,-0.04262745041387979,0.12801230308079506,0.3013698630136986,10000,0.32857277652516437,False
cyp3a4_substrate_carbonmangels,AUROC,trimole_hybrid,oof_stacking,1;2;3;4;5,101;202;303;404;505,135,0.6653481012658229,0.6282775768535263,0.037070524412296635,-0.03683504488524773,0.11042226882548598,0.3157684231576842,10000,0.33855225588552257,False
cyp3a4_substrate_carbonmangels,AUROC,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,135,0.6653481012658229,0.6210443037974684,0.044303797468354444,-0.039309247364953975,0.12687186708064838,0.30296970302969706,10000,0.32857277652516437,False
cyp3a4_substrate_carbonmangels,AUROC,trimole_hybrid,uniform_average,1;2;3;4;5,101;202;303;404;505,135,0.6653481012658229,0.6184448462929476,0.046903254972875286,-0.026473296461513682,0.11953808099401741,0.20677932206779323,10000,0.230976902309769,False
cyp3a4_substrate_carbonmangels,AUROC,trimole_hybrid,validation_top2_average,1;2;3;4;5,101;202;303;404;505,135,0.6653481012658229,0.621496383363472,0.04385171790235087,-0.032323930078360506,0.12115962660211893,0.258974102589741,10000,0.2848715128487151,False
cyp3a4_substrate_carbonmangels,AUROC,trimole_hybrid,validation_top3_average,1;2;3;4;5,101;202;303;404;505,135,0.6653481012658229,0.6184448462929476,0.046903254972875286,-0.0263552840123391,0.12161508704061885,0.206979302069793,10000,0.230976902309769,False
cyp3a4_veith,AUPRC,trimole_hybrid,flaml_automl,1;2;3;4;5,101;202;303;404;505,2467,0.8859402823062066,0.8603646362082978,0.025575646097908744,0.018241221006076145,0.03306114508912454,0.00019998000199980003,10000,0.00040522263563117373,True
cyp3a4_veith,AUPRC,trimole_hybrid,global_single,1;2;3;4;5,101;202;303;404;505,2467,0.8859402823062066,0.7651838120437308,0.12075647026247582,0.10156227486672383,0.140317630336992,0.00019998000199980003,10000,0.00040522263563117373,True
cyp3a4_veith,AUPRC,trimole_hybrid,oof_stacking,1;2;3;4;5,101;202;303;404;505,2467,0.8859402823062066,0.8342480059882073,0.05169227631799933,0.03882087321764304,0.06496474394109356,0.00019998000199980003,10000,0.00040522263563117373,True
cyp3a4_veith,AUPRC,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,2467,0.8859402823062066,0.7651838120437308,0.12075647026247582,0.10128684253746421,0.13938230241847993,0.00019998000199980003,10000,0.00040522263563117373,True
cyp3a4_veith,AUPRC,trimole_hybrid,uniform_average,1;2;3;4;5,101;202;303;404;505,2467,0.8859402823062066,0.829802959797753,0.0561373225084536,0.04305799185093813,0.06966483378163861,0.00019998000199980003,10000,0.00040522263563117373,True
cyp3a4_veith,AUPRC,trimole_hybrid,validation_top2_average,1;2;3;4;5,101;202;303;404;505,2467,0.8859402823062066,0.8252926037982878,0.060647678507918745,0.04601891709577135,0.07580824423619766,0.00019998000199980003,10000,0.00040522263563117373,True
cyp3a4_veith,AUPRC,trimole_hybrid,validation_top3_average,1;2;3;4;5,101;202;303;404;505,2467,0.8859402823062066,0.829802959797753,0.0561373225084536,0.0431567599502409,0.06966814525953337,0.00019998000199980003,10000,0.00040522263563117373,True
dili,AUROC,trimole_hybrid,flaml_automl,1;2;3;4;5,101;202;303;404;505,96,0.9117391304347826,0.8852173913043477,0.026521739130434874,-0.013303769401330379,0.07017620840165363,0.20277972202779723,10000,0.230976902309769,False
dili,AUROC,trimole_hybrid,global_single,1;2;3;4;5,101;202;303;404;505,96,0.9117391304347826,0.7869565217391306,0.12478260869565205,0.04459065654315917,0.20653884613712448,0.0021997800219978004,10000,0.0036426464880393683,True
dili,AUROC,trimole_hybrid,oof_stacking,1;2;3;4;5,101;202;303;404;505,96,0.9117391304347826,0.8891304347826087,0.022608695652173938,-0.025493410130009466,0.0727746212121211,0.34936506349365065,10000,0.36600149508858637,False
dili,AUROC,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,96,0.9117391304347826,0.7869565217391306,0.12478260869565205,0.04537202752025958,0.20913093208297825,0.0013998600139986002,10000,0.0023432439364759177,True
dili,AUROC,trimole_hybrid,uniform_average,1;2;3;4;5,101;202;303;404;505,96,0.9117391304347826,0.8710869565217391,0.04065217391304354,-0.0037528280411672646,0.08959790209790208,0.0791920807919208,10000,0.09996377411439183,False
dili,AUROC,trimole_hybrid,validation_top2_average,1;2;3;4;5,101;202;303;404;505,96,0.9117391304347826,0.8760869565217391,0.03565217391304354,-0.015071437919062765,0.0860324399884315,0.16178382161783822,10000,0.19018861472631363,False
dili,AUROC,trimole_hybrid,validation_top3_average,1;2;3;4;5,101;202;303;404;505,96,0.9117391304347826,0.8710869565217391,0.04065217391304354,-0.005682379133591228,0.09031909805145466,0.08439156084391561,10000,0.10421677832216779,False
half_life_obach,Spearman,trimole_hybrid,flaml_automl,1;2;3;4;5,101;202;303;404;505,135,0.4924114680920759,0.2506964849216157,0.2417149831704602,0.09559643606047391,0.3930322716052803,0.0029997000299970002,10000,0.004812018798120188,True
half_life_obach,Spearman,trimole_hybrid,global_single,1;2;3;4;5,101;202;303;404;505,135,0.4924114680920759,0.27932847973583586,0.21308298835624007,0.04527695014750523,0.38359798200668505,0.012198780121987801,10000,0.017722756026284165,True
half_life_obach,Spearman,trimole_hybrid,oof_stacking,1;2;3;4;5,101;202;303;404;505,135,0.4924114680920759,0.2479889965217587,0.2444224715703172,0.0687091238812042,0.41957342013826826,0.004999500049995001,10000,0.007548264781365002,True
half_life_obach,Spearman,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,135,0.4924114680920759,0.27932847973583586,0.21308298835624007,0.04612762908957386,0.37846700377619574,0.012798720127987202,10000,0.01842058784775728,True
half_life_obach,Spearman,trimole_hybrid,uniform_average,1;2;3;4;5,101;202;303;404;505,135,0.4924114680920759,0.259284283840958,0.23312718425111795,0.04886192805540495,0.4213642148793396,0.013398660133986601,10000,0.019105496857721633,True
half_life_obach,Spearman,trimole_hybrid,validation_top2_average,1;2;3;4;5,101;202;303;404;505,135,0.4924114680920759,0.10889183812689496,0.38351962996518096,0.19177735420182127,0.5715919620222478,0.00019998000199980003,10000,0.00040522263563117373,True
half_life_obach,Spearman,trimole_hybrid,validation_top3_average,1;2;3;4;5,101;202;303;404;505,135,0.4924114680920759,0.259284283840958,0.23312718425111795,0.044458944298954,0.41844987730832484,0.017998200179982,10000,0.0254286497955709,True
herg,AUROC,trimole_hybrid,flaml_automl,101;202;303;404;505,101;202;303;404;505,132,0.8622974963181148,0.8522827687776142,0.01001472754050059,-0.024692342921301947,0.045713780519094686,0.5609439056094391,10000,0.5683247464727211,False
herg,AUROC,trimole_hybrid,global_single,101;202;303;404;505,101;202;303;404;505,132,0.8622974963181148,0.7269513991163477,0.13534609720176716,0.06538928468872246,0.20768403206760835,0.00019998000199980003,10000,0.00040522263563117373,True
herg,AUROC,trimole_hybrid,oof_stacking,101;202;303;404;505,101;202;303;404;505,132,0.8622974963181148,0.7952871870397643,0.0670103092783505,0.008264014434113945,0.13137339154411762,0.026597340265973404,10000,0.035929740359297406,True
herg,AUROC,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,132,0.8622974963181148,0.7269513991163477,0.13534609720176716,0.06624609375000004,0.2096724911078978,0.00039996000399960006,10000,0.0007511443977553465,True
herg,AUROC,trimole_hybrid,uniform_average,101;202;303;404;505,101;202;303;404;505,132,0.8622974963181148,0.7932253313696613,0.06907216494845347,0.008289041832010458,0.13310185185185175,0.0263973602639736,10000,0.035929740359297406,True
herg,AUROC,trimole_hybrid,validation_top2_average,101;202;303;404;505,101;202;303;404;505,132,0.8622974963181148,0.7522827687776141,0.11001472754050068,0.036273390799618804,0.18589313698938603,0.0037996200379962005,10000,0.006032386452076442,True
herg,AUROC,trimole_hybrid,validation_top3_average,101;202;303;404;505,101;202;303;404;505,132,0.8622974963181148,0.7932253313696613,0.06907216494845347,0.008403092389160689,0.13560297936753907,0.025397460253974602,10000,0.03492150784921508,True
hia_hou,AUROC,trimole_hybrid,flaml_automl,1;2;3;4;5,101;202;303;404;505,117,0.994238683127572,0.9728395061728394,0.02139917695473259,0.002625232395055266,0.04691462383770084,0.0197980201979802,10000,0.027717228277172278,True
hia_hou,AUROC,trimole_hybrid,global_single,1;2;3;4;5,101;202;303;404;505,117,0.994238683127572,0.781275720164609,0.21296296296296302,0.1298692613970391,0.3047870229898473,0.00019998000199980003,10000,0.00040522263563117373,True
hia_hou,AUROC,trimole_hybrid,oof_stacking,1;2;3;4;5,101;202;303;404;505,117,0.994238683127572,0.9806584362139918,0.013580246913580174,-0.00044839132424186434,0.03397862773115726,0.06319368063193681,10000,0.08247310862134126,False
hia_hou,AUROC,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,117,0.994238683127572,0.9469135802469135,0.0473251028806585,0.01825784864507597,0.08114961961115796,0.00019998000199980003,10000,0.00040522263563117373,True
hia_hou,AUROC,trimole_hybrid,uniform_average,1;2;3;4;5,101;202;303;404;505,117,0.994238683127572,0.96440329218107,0.029835390946502005,0.007836990595611382,0.0610825862841775,0.0027997200279972004,10000,0.0045384935190691455,True
hia_hou,AUROC,trimole_hybrid,validation_top2_average,1;2;3;4;5,101;202;303;404;505,117,0.994238683127572,0.95,0.044238683127572065,0.011724339257233965,0.08441271460737398,0.004399560043995601,10000,0.006843760068437601,True
hia_hou,AUROC,trimole_hybrid,validation_top3_average,1;2;3;4;5,101;202;303;404;505,117,0.994238683127572,0.96440329218107,0.029835390946502005,0.007407236098262932,0.06105457909343204,0.003999600039996,10000,0.006285085777136571,True
ld50_zhu,MAE,trimole_hybrid,flaml_automl,101;202;303;404;505,101;202;303;404;505,1478,0.6015166973667635,0.647455489310909,0.04593879194414552,0.03558156381513227,0.05623022059344412,0.00019998000199980003,10000,0.00040522263563117373,True
ld50_zhu,MAE,trimole_hybrid,global_single,101;202;303;404;505,101;202;303;404;505,1478,0.6015166973667635,0.6739934812759999,0.0724767839092364,0.05322573213659534,0.0926123508821644,0.00019998000199980003,10000,0.00040522263563117373,True
ld50_zhu,MAE,trimole_hybrid,oof_stacking,101;202;303;404;505,101;202;303;404;505,1478,0.6015166973667635,0.6084140149926648,0.006897317625901289,-0.010134544743020751,0.02388497895056034,0.43155684431556846,10000,0.44013082135495063,False
ld50_zhu,MAE,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,1478,0.6015166973667635,0.7653379705278089,0.16382127316104544,0.14174173062394532,0.18634431066445306,0.00019998000199980003,10000,0.00040522263563117373,True
ld50_zhu,MAE,trimole_hybrid,uniform_average,101;202;303;404;505,101;202;303;404;505,1478,0.6015166973667635,0.6134245111354041,0.011907813768640585,-0.005032829916670905,0.02880189015996531,0.16878312168783122,10000,0.1969136419691364,False
ld50_zhu,MAE,trimole_hybrid,validation_top2_average,101;202;303;404;505,101;202;303;404;505,1478,0.6015166973667635,0.6787262188943055,0.07720952152754201,0.06092219204804239,0.09402350430050636,0.00019998000199980003,10000,0.00040522263563117373,True
ld50_zhu,MAE,trimole_hybrid,validation_top3_average,101;202;303;404;505,101;202;303;404;505,1478,0.6015166973667635,0.6134245111354041,0.011907813768640585,-0.00491389441254113,0.028515023186860555,0.1543845615438456,10000,0.18288632675194016,False
lipophilicity_astrazeneca,MAE,trimole_hybrid,flaml_automl,1;2;3;4;5,101;202;303;404;505,840,0.47004576132529885,0.6074920223193199,0.13744626099402102,0.11342352124071264,0.1615460228999425,0.00019998000199980003,10000,0.00040522263563117373,True
lipophilicity_astrazeneca,MAE,trimole_hybrid,global_single,1;2;3;4;5,101;202;303;404;505,840,0.47004576132529885,0.7503387817484993,0.2802930204232005,0.2434720971947937,0.31736227705764536,0.00019998000199980003,10000,0.00040522263563117373,True
lipophilicity_astrazeneca,MAE,trimole_hybrid,oof_stacking,1;2;3;4;5,101;202;303;404;505,840,0.47004576132529885,0.5723090284474419,0.10226326712214306,0.0769405604197415,0.12809522033473764,0.00019998000199980003,10000,0.00040522263563117373,True
lipophilicity_astrazeneca,MAE,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,840,0.47004576132529885,0.7503387817484993,0.2802930204232005,0.24344615482725046,0.31747868850261407,0.00019998000199980003,10000,0.00040522263563117373,True
