task,metric,model,source_family,candidate_count,candidate_count_definition,selection_budget,prediction_evidence_note,n_runs,n_samples,score_mean,score_sd
cyp2c9_substrate_carbonmangels,AUPRC,validation_top3_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,135,0.3719007673975094,0.008691724314473064
cyp2c9_veith,AUPRC,flaml_automl,matched_budget_automl,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision,5,2419,0.7148633205842787,0.015548683180511487
cyp2c9_veith,AUPRC,global_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,2419,0.6731428505682917,0.007290309419806517
cyp2c9_veith,AUPRC,oof_stacking,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,2419,0.7487539839772237,0.004206471918160153
cyp2c9_veith,AUPRC,per_task_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,2419,0.6731428505682917,0.007290309419806517
cyp2c9_veith,AUPRC,trimole_hybrid,submitted_taskwise_system,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived,5,2419,0.790586152904674,0.002607567455739596
cyp2c9_veith,AUPRC,uniform_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,2419,0.7521523684074134,0.004077701067361
cyp2c9_veith,AUPRC,validation_top2_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,2419,0.737714391381797,0.005653260683765213
cyp2c9_veith,AUPRC,validation_top3_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,2419,0.7521523684074134,0.004077701067361
cyp2d6_substrate_carbonmangels,AUPRC,flaml_automl,matched_budget_automl,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision,5,135,0.5746464069533015,0.04043085651823141
cyp2d6_substrate_carbonmangels,AUPRC,global_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,135,0.4583937858665479,0.007020719005734201
cyp2d6_substrate_carbonmangels,AUPRC,oof_stacking,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,135,0.5555389002772552,0.02498078306556593
cyp2d6_substrate_carbonmangels,AUPRC,per_task_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,135,0.4885903985588628,0.01889326903394346
cyp2d6_substrate_carbonmangels,AUPRC,trimole_hybrid,submitted_taskwise_system,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived,5,135,0.7475310487600084,0.009610388336021462
cyp2d6_substrate_carbonmangels,AUPRC,uniform_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,135,0.5476299937502456,0.018150360622723655
cyp2d6_substrate_carbonmangels,AUPRC,validation_top2_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,135,0.5288943578826133,0.01519928007708186
cyp2d6_substrate_carbonmangels,AUPRC,validation_top3_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,135,0.5476299937502456,0.018150360622723655
cyp2d6_veith,AUPRC,flaml_automl,matched_budget_automl,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision,5,2626,0.6490232873961111,0.025198610972279118
cyp2d6_veith,AUPRC,global_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,2626,0.4931364205806278,0.018591936883190788
cyp2d6_veith,AUPRC,oof_stacking,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,2626,0.6502512403764815,0.005086854352433268
cyp2d6_veith,AUPRC,per_task_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,2626,0.4931364205806278,0.018591936883190788
cyp2d6_veith,AUPRC,trimole_hybrid,submitted_taskwise_system,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived,5,2626,0.719167492795628,0.005510258378855367
cyp2d6_veith,AUPRC,uniform_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,2626,0.6426657076698071,0.003811315031387109
cyp2d6_veith,AUPRC,validation_top2_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,2626,0.6334074855829387,0.00988686686068568
cyp2d6_veith,AUPRC,validation_top3_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,2626,0.6426657076698071,0.003811315031387109
cyp3a4_substrate_carbonmangels,AUROC,flaml_automl,matched_budget_automl,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision,5,135,0.6404611211573237,0.02451690362454609
cyp3a4_substrate_carbonmangels,AUROC,global_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,135,0.616885171790235,0.006094906127522779
cyp3a4_substrate_carbonmangels,AUROC,oof_stacking,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,135,0.6265596745027124,0.015835978418231055
cyp3a4_substrate_carbonmangels,AUROC,per_task_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,135,0.616885171790235,0.006094906127522779
cyp3a4_substrate_carbonmangels,AUROC,trimole_hybrid,submitted_taskwise_system,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived,5,135,0.655628390596745,0.007590024136700193
cyp3a4_substrate_carbonmangels,AUROC,uniform_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,135,0.6158001808318263,0.01642342750288884
cyp3a4_substrate_carbonmangels,AUROC,validation_top2_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,135,0.622377938517179,0.012422269181418377
cyp3a4_substrate_carbonmangels,AUROC,validation_top3_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,135,0.6158001808318263,0.01642342750288884
