task,variant,metric,direction,score_mean,score_std,top1_ref,direction_normalized_margin,full_margin,delta_margin_vs_full,diagnostic_margin_ge_0,selected_candidate
lipophilicity_astrazeneca,no_prediction_level_ensemble,MAE,min,0.5572363431113107,0.0,0.456,-0.1012363431113106,-0.0168949999999999,-0.0843413431113106,False,deep_kpgt_ept_ridge_linear
pgp_broccatelli,no_prediction_level_ensemble,AUROC,max,0.929285523860304,0.0023260368390582,0.938,-0.008714476139696,0.000363,-0.009077476139696,False,chem_fp_chemberta_kpgt_ept_xgb
ppbr_az,no_prediction_level_ensemble,MAE,min,9.195011191161672,0.1124528344322945,7.44,-1.755011191161672,0.1093830000000002,-1.864394191161672,False,chem_fp_chemberta_kpgt_ept_xgb
solubility_aqsoldb,no_prediction_level_ensemble,MAE,min,0.8382019154940069,0.0030341993428967,0.741,-0.0972019154940069,0.002557,-0.0997589154940069,False,chem_fp_chemberta_kpgt_ept_xgb
vdss_lombardo,no_prediction_level_ensemble,Spearman,max,0.4570863339950263,0.0131220791005511,0.713,-0.2559136660049736,-0.0520049999999999,-0.2039086660049737,False,chem_fp_xgb
ames,no_seedbag_single_seed,AUROC,max,0.8551077953357222,,0.871,-0.0158922046642777,0.0009449999999999,-0.0168372046642777,False,chem_fp_chemberta_kpgt_xgb
bbb_martins,no_seedbag_single_seed,AUROC,max,0.902439024390244,,0.924,-0.0215609756097561,0.0037789999999999,-0.025339975609756,False,chem_fp_chemberta_kpgt_ept_xgb
bioavailability_ma,no_seedbag_single_seed,AUROC,max,0.6458264050548721,,0.942,-0.2961735949451278,-0.2197519999999999,-0.0764215949451279,False,chem_fp_chemberta_kpgt_xgb
caco2_wang,no_seedbag_single_seed,MAE,min,0.3520695007222605,,0.256,-0.0960695007222605,-0.0276469999999999,-0.0684225007222605,False,chem_fp_chemberta_kpgt_ept_xgb
clearance_hepatocyte_az,no_seedbag_single_seed,Spearman,max,0.1788322549824511,,0.536,-0.3571677450175489,0.0160399999999999,-0.3732077450175489,False,chem_fp_chemberta_kpgt_ept_xgb
clearance_microsome_az,no_seedbag_single_seed,Spearman,max,0.4382058069675574,,0.63,-0.1917941930324425,0.0128139999999999,-0.2046081930324425,False,deep_kpgt_ridge_linear
cyp2c9_substrate_carbonmangels,no_seedbag_single_seed,AUPRC,max,0.4517016156517738,,0.474,-0.0222983843482261,-0.0306299999999999,0.0083316156517738,False,chem_fp_chemberta_kpgt_ept_xgb
cyp2c9_veith,no_seedbag_single_seed,AUPRC,max,0.7700697697202045,,0.859,-0.0889302302797955,-0.0684139999999999,-0.0205162302797955,False,chem_fp_chemberta_kpgt_xgb
cyp2d6_substrate_carbonmangels,no_seedbag_single_seed,AUPRC,max,0.6985240233492779,,0.736,-0.0374759766507221,0.0115309999999999,-0.049006976650722,False,chem_fp_chemberta_kpgt_xgb
cyp2d6_veith,no_seedbag_single_seed,AUPRC,max,0.7008360219135269,,0.79,-0.0891639780864731,-0.070828,-0.0183359780864731,False,chem_fp_chemberta_kpgt_xgb
cyp3a4_substrate_carbonmangels,no_seedbag_single_seed,AUROC,max,0.6734855334538878,,0.667,0.0064855334538878,0.0582489999999999,-0.0517634665461121,True,chem_fp_xgb
cyp3a4_veith,no_seedbag_single_seed,AUPRC,max,0.8623033394316458,,0.916,-0.0536966605683542,-0.0318789999999999,-0.0218176605683542,False,chem_fp_chemberta_kpgt_xgb
dili,no_seedbag_single_seed,AUROC,max,0.8578260869565217,,0.956,-0.0981739130434782,-0.0473909999999999,-0.0507829130434782,False,chem_fp_xgb
