task,metric,method,candidate_count,score_mean,score_std,n_seeds,selected_candidates
cyp2d6_substrate_carbonmangels,AUPRC,global_single,9,0.6895371829847046,0.009895921369067456,5,chem_fp_chemberta_kpgt_ept_xgb
cyp2d6_substrate_carbonmangels,AUPRC,per_task_single,9,0.7021059512272265,0.013328367034302279,5,chem_fp_chemberta_kpgt_xgb
cyp2d6_substrate_carbonmangels,AUPRC,uniform_candidate_average,9,0.6816073130129165,0.02698421133667206,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
cyp2d6_substrate_carbonmangels,AUPRC,validation_stacking,9,0.5904294195735492,0.06484717536003963,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
cyp2d6_substrate_carbonmangels,AUPRC,validation_top2_average,9,0.692694880383127,0.009436509827228498,5,chem_fp_chemberta_kpgt_xgb;chem_fp_chemberta_kpgt_ept_xgb
cyp2d6_substrate_carbonmangels,AUPRC,validation_top3_average,9,0.6801122736130929,0.010700225219501093,5,chem_fp_chemberta_kpgt_xgb;chem_fp_chemberta_kpgt_ept_xgb;chem_fp_xgb
cyp2d6_veith,AUPRC,global_single,9,0.6883401136054271,0.0035028651929721786,5,chem_fp_chemberta_kpgt_ept_xgb
cyp2d6_veith,AUPRC,per_task_single,9,0.6961381524649516,0.003693138071996181,5,chem_fp_chemberta_kpgt_xgb
cyp2d6_veith,AUPRC,uniform_candidate_average,9,0.6552347763543536,0.006963760111282038,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
cyp2d6_veith,AUPRC,validation_stacking,9,0.7064073415797619,0.0020308171092542717,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
cyp2d6_veith,AUPRC,validation_top2_average,9,0.7127322636658388,0.001925662253553665,5,chem_fp_chemberta_kpgt_xgb;chem_fp_chemberta_kpgt_ept_xgb
cyp2d6_veith,AUPRC,validation_top3_average,9,0.7093530034216111,0.0009934180028827603,5,chem_fp_chemberta_kpgt_xgb;chem_fp_chemberta_kpgt_ept_xgb;chem_fp_xgb
cyp3a4_substrate_carbonmangels,AUROC,global_single,9,0.6683092224231464,0.005790766906958405,5,chem_fp_chemberta_kpgt_ept_xgb
cyp3a4_substrate_carbonmangels,AUROC,per_task_single,9,0.6705470162748643,0.006711136003301729,5,chem_fp_xgb
cyp3a4_substrate_carbonmangels,AUROC,uniform_candidate_average,9,0.6697106690777577,0.0031378034706390297,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
cyp3a4_substrate_carbonmangels,AUROC,validation_stacking,9,0.6627486437613019,0.03271140090913829,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
cyp3a4_substrate_carbonmangels,AUROC,validation_top2_average,9,0.6862115732368897,0.005491417764239765,5,chem_fp_xgb;chem_fp_chemberta_kpgt_xgb
cyp3a4_substrate_carbonmangels,AUROC,validation_top3_average,9,0.68250452079566,0.0036328468090358517,5,chem_fp_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_chemberta_kpgt_ept_xgb
cyp3a4_veith,AUPRC,global_single,9,0.8598983556856856,0.0010748184248036766,5,chem_fp_chemberta_kpgt_ept_xgb
cyp3a4_veith,AUPRC,per_task_single,9,0.8612921926155332,0.0011695924276257461,5,chem_fp_chemberta_kpgt_xgb
cyp3a4_veith,AUPRC,uniform_candidate_average,9,0.8561207581637511,0.0031083691098526605,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
cyp3a4_veith,AUPRC,validation_stacking,9,0.873032787881186,0.0014215834656253592,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
cyp3a4_veith,AUPRC,validation_top2_average,9,0.8681867835707024,0.0013789518254340102,5,chem_fp_chemberta_kpgt_xgb;chem_fp_chemberta_kpgt_ept_xgb
cyp3a4_veith,AUPRC,validation_top3_average,9,0.8685760623303892,0.0016562512549230682,5,chem_fp_chemberta_kpgt_xgb;chem_fp_chemberta_kpgt_ept_xgb;chem_fp_xgb
dili,AUROC,global_single,9,0.903304347826087,0.010092202533881177,5,chem_fp_chemberta_kpgt_ept_xgb
dili,AUROC,per_task_single,9,0.8666086956521738,0.006731412129914474,5,chem_fp_xgb
dili,AUROC,uniform_candidate_average,9,0.8957391304347826,0.011310199154521314,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
dili,AUROC,validation_stacking,9,0.8843478260869565,0.024769256509894092,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
dili,AUROC,validation_top2_average,9,0.9048695652173914,0.005221013235574983,5,chem_fp_xgb;chem_fp_chemberta_kpgt_ept_xgb
dili,AUROC,validation_top3_average,9,0.9053043478260869,0.0030651403012199154,5,chem_fp_xgb;chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb
half_life_obach,Spearman,global_single,9,0.3850970831788019,0.02921397936688467,5,chem_fp_chemberta_kpgt_ept_xgb
half_life_obach,Spearman,per_task_single,9,0.40187442243505433,0.03223038264008255,5,chem_fp_chemberta_kpgt_xgb
