task,metric,descriptor,group,threshold_task_median,n_samples,positive_n,prevalence,metric_valid,validity_reason,reference_model,comparator_model,reference_seeds,comparator_seeds,bootstrap_replicates_requested,reference_score,comparator_score,improvement,ci95_lower,ci95_upper,p_value_two_sided,bootstrap_replicates_valid,p_value_bh_fdr,significant_fdr_0_05
cyp2d6_substrate_carbonmangels,AUPRC,tpsa,low_or_equal_median,57.279999999999994,68,27.0,0.39705882352941174,True,valid,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,10000,0.8230823686549746,0.5842436795720292,0.23883868908294548,0.12577926638257506,0.3509032773133203,0.00019998000199980003,10000.0,0.0004030366194149816,True
cyp2d6_substrate_carbonmangels,AUPRC,tpsa,above_median,57.279999999999994,67,16.0,0.23880597014925373,True,valid,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,10000,0.6658853633299198,0.38701405047980986,0.2788713128501099,0.11494874209360993,0.42768959689376956,0.0027997200279972004,10000.0,0.004956261130643693,True
cyp2d6_veith,AUPRC,molecular_weight,low_or_equal_median,319.43000000000006,1313,174.0,0.13252094440213252,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.646368644571453,0.46562476203134967,0.18074388254010337,0.13461001792224903,0.22626934156531864,0.00019998000199980003,10000.0,0.0004030366194149816,True
cyp2d6_veith,AUPRC,molecular_weight,above_median,319.43000000000006,1313,269.0,0.2048743335872049,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.7714297691604284,0.5637086505117002,0.20772111864872822,0.16040121431996598,0.25407910514732107,0.00019998000199980003,10000.0,0.0004030366194149816,True
cyp2d6_veith,AUPRC,clogp,low_or_equal_median,2.520170000000001,1313,94.0,0.0715917745620716,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.45530338288495076,0.25120911268263274,0.20409427020231802,0.14025298222898389,0.27157142347828894,0.00019998000199980003,10000.0,0.0004030366194149816,True
cyp2d6_veith,AUPRC,clogp,above_median,2.520170000000001,1313,349.0,0.26580350342726583,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.7829308861260345,0.6055393206707825,0.17739156545525192,0.1391887220090426,0.21579365824370256,0.00019998000199980003,10000.0,0.0004030366194149816,True
cyp2d6_veith,AUPRC,tpsa,low_or_equal_median,70.18,1313,318.0,0.2421934501142422,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.7713879971970603,0.5821179972457811,0.18926999995127924,0.15025391456665935,0.22868540767741524,0.00019998000199980003,10000.0,0.0004030366194149816,True
cyp2d6_veith,AUPRC,tpsa,above_median,70.18,1313,125.0,0.09520182787509521,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.5893003587754797,0.36043877181769424,0.22886158695778547,0.16196427800928256,0.2941218520998814,0.00019998000199980003,10000.0,0.0004030366194149816,True
cyp3a4_substrate_carbonmangels,AUROC,molecular_weight,low_or_equal_median,336.47900000000004,68,38.0,0.5588235294117647,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.6675438596491228,0.6162280701754387,0.05131578947368409,-0.06510699728260877,0.17254040843979856,0.39736026397360263,10000.0,0.43378495483784957,False
cyp3a4_substrate_carbonmangels,AUROC,molecular_weight,above_median,336.47900000000004,67,41.0,0.6119402985074627,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.6674484052532833,0.6121013133208255,0.05534709193245779,-0.08498158156543256,0.19285714285714284,0.4343565643435656,10000.0,0.47025380106617437,False
cyp3a4_substrate_carbonmangels,AUROC,clogp,low_or_equal_median,3.5064400000000013,68,36.0,0.5294117647058824,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.7252604166666667,0.69921875,0.02604166666666674,-0.09376036140583555,0.14366468817640687,0.6637336266373363,10000.0,0.668839269919162,False
