task,variant,delta_margin_vs_full,direction_normalized_margin,selected_candidate
bioavailability_ma,no_task_adaptive_selection,-0.0753574113734618,-0.2951094113734618,chem_fp_chemberta_kpgt_ept_xgb
caco2_wang,no_task_adaptive_selection,-0.0816611944549426,-0.1093081944549426,chem_fp_chemberta_kpgt_ept_xgb
clearance_hepatocyte_az,no_task_adaptive_selection,-0.3517204712229832,-0.3356804712229833,chem_fp_chemberta_kpgt_ept_xgb
clearance_microsome_az,no_task_adaptive_selection,-0.0473562922086657,-0.0345422922086657,chem_fp_chemberta_kpgt_ept_xgb
cyp2c9_substrate_carbonmangels,no_task_adaptive_selection,-0.0116172702407486,-0.0422472702407486,chem_fp_chemberta_kpgt_ept_xgb
cyp2c9_veith,no_task_adaptive_selection,-0.0391341418571991,-0.107548141857199,chem_fp_chemberta_kpgt_ept_xgb
cyp2d6_substrate_carbonmangels,no_task_adaptive_selection,-0.0579938170152952,-0.0464628170152953,chem_fp_chemberta_kpgt_ept_xgb
cyp2d6_veith,no_task_adaptive_selection,-0.0308318863945729,-0.1016598863945729,chem_fp_chemberta_kpgt_ept_xgb
cyp3a4_substrate_carbonmangels,no_task_adaptive_selection,-0.0569397775768536,0.0013092224231463,chem_fp_chemberta_kpgt_ept_xgb
cyp3a4_veith,no_task_adaptive_selection,-0.0242226443143144,-0.0561016443143144,chem_fp_chemberta_kpgt_ept_xgb
dili,no_task_adaptive_selection,-0.0053046521739129,-0.0526956521739129,chem_fp_chemberta_kpgt_ept_xgb
half_life_obach,no_task_adaptive_selection,-0.106292916821198,-0.190902916821198,chem_fp_chemberta_kpgt_ept_xgb
herg,no_task_adaptive_selection,-0.0468631546391752,-0.0635051546391752,chem_fp_chemberta_kpgt_ept_xgb
hia_hou,no_task_adaptive_selection,-0.0242388477366255,-0.0229588477366254,chem_fp_chemberta_kpgt_ept_xgb
ld50_zhu,no_task_adaptive_selection,-0.0162074960295092,-0.0672784960295092,chem_fp_chemberta_kpgt_ept_xgb
lipophilicity_astrazeneca,no_task_adaptive_selection,-0.1274690692421201,-0.1443640692421201,chem_fp_chemberta_kpgt_ept_xgb
pgp_broccatelli,no_task_adaptive_selection,-0.009077476139696,-0.008714476139696,chem_fp_chemberta_kpgt_ept_xgb
ppbr_az,no_task_adaptive_selection,-1.864394191161672,-1.755011191161672,chem_fp_chemberta_kpgt_ept_xgb
solubility_aqsoldb,no_task_adaptive_selection,-0.0997589154940069,-0.0972019154940069,chem_fp_chemberta_kpgt_ept_xgb
vdss_lombardo,no_task_adaptive_selection,-0.2413566154502046,-0.2933616154502045,chem_fp_chemberta_kpgt_ept_xgb
