task,metric,reference_model,comparator_model,reference_seeds,comparator_seeds,n_samples,reference_score,comparator_score,improvement,ci95_lower,ci95_upper,p_value_two_sided,bootstrap_replicates_valid,p_value_bh_fdr,significant_fdr_0_05
clearance_hepatocyte_az,Spearman,trimole_hybrid,validation_top3_average,1;2;3;4;5,101;202;303;404;505,243,0.27527649324497594,0.3539675041980926,-0.07869101095311665,-0.1338027415973798,-0.025781474988162145,0.0045995400459954,10000,0.010290496374091403,True
clearance_microsome_az,Spearman,trimole_hybrid,global_single,5;15;25;35;45,101;202;303;404;505,221,0.6443869808313402,0.6072144906418555,0.03717249018948465,-0.001646931307065546,0.07907650063689657,0.06079392060793921,10000,0.09668430747286717,False
clearance_microsome_az,Spearman,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,221,0.6443869808313402,0.43863936426647754,0.20574761656486262,0.1051490993643183,0.3102617827380687,0.00019998000199980003,10000,0.0006285085777136572,True
clearance_microsome_az,Spearman,trimole_hybrid,uniform_candidate_average,5;15;25;35;45,101;202;303;404;505,221,0.6443869808313402,0.6280754430773287,0.016311537754011507,-0.03257267428884001,0.06385366777560009,0.5105489451054894,10000,0.6017183995886126,False
clearance_microsome_az,Spearman,trimole_hybrid,validation_stacking,5;15;25;35;45,101;202;303;404;505,221,0.6443869808313402,0.4601430716455905,0.18424390918574968,0.10129214964413856,0.2710487848831798,0.00019998000199980003,10000,0.0006285085777136572,True
clearance_microsome_az,Spearman,trimole_hybrid,validation_top2_average,5;15;25;35;45,101;202;303;404;505,221,0.6443869808313402,0.458610517419691,0.18577646341164916,0.0897833105322222,0.2822863510103338,0.0005999400059994001,10000,0.00175982401759824,True
clearance_microsome_az,Spearman,trimole_hybrid,validation_top3_average,5;15;25;35;45,101;202;303;404;505,221,0.6443869808313402,0.5613260763710792,0.08306090446026093,0.019517014412792636,0.1485524412881808,0.007799220077992201,10000,0.01715828417158284,True
cyp2c9_substrate_carbonmangels,AUPRC,trimole_hybrid,global_single,101;202;303;404;505,101;202;303;404;505,135,0.4337916436260892,0.42547416626400486,0.008317477362084325,-0.06259121759532407,0.0775444938324381,0.7795220477952205,10000,0.836560246414383,False
cyp2c9_substrate_carbonmangels,AUPRC,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,135,0.4337916436260892,0.42547416626400486,0.008317477362084325,-0.06356963132605277,0.07787773948129265,0.7929207079292071,10000,0.8440768826343172,False
cyp2c9_substrate_carbonmangels,AUPRC,trimole_hybrid,uniform_candidate_average,101;202;303;404;505,101;202;303;404;505,135,0.4337916436260892,0.40785774505302796,0.02593389857306122,-0.06958517381266306,0.1205124283222111,0.58994100589941,10000,0.6655744681942061,False
cyp2c9_substrate_carbonmangels,AUPRC,trimole_hybrid,validation_stacking,101;202;303;404;505,101;202;303;404;505,135,0.4337916436260892,0.3985871552298742,0.035204488396214983,-0.07142515302316914,0.14322896171309757,0.5231476852314768,10000,0.6080655092385497,False
cyp2c9_substrate_carbonmangels,AUPRC,trimole_hybrid,validation_top2_average,101;202;303;404;505,101;202;303;404;505,135,0.4337916436260892,0.42371010646598484,0.010081537160104348,-0.06699889160038165,0.08210568481218401,0.7623237676232377,10000,0.8248093223464539,False
cyp2c9_substrate_carbonmangels,AUPRC,trimole_hybrid,validation_top3_average,101;202;303;404;505,101;202;303;404;505,135,0.4337916436260892,0.44343828796799356,-0.009646644341904376,-0.07674601172499314,0.07666003751394637,0.9911008899110089,10000,1.0,False
cyp2c9_veith,AUPRC,trimole_hybrid,global_single,101;202;303;404;505,101;202;303;404;505,2419,0.7924603312313264,0.7535146531235783,0.03894567810774807,0.0182397269090967,0.05965571393820106,0.00039996000399960006,10000,0.0011998800119988001,True
cyp2c9_veith,AUPRC,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,2419,0.7924603312313264,0.774898532346017,0.0175617988853094,0.00011318814443799267,0.03444121314209083,0.047795220477952205,10000,0.08088421927038066,False
cyp2c9_veith,AUPRC,trimole_hybrid,uniform_candidate_average,101;202;303;404;505,101;202;303;404;505,2419,0.7924603312313264,0.7735617134114103,0.018898617819916086,-0.0012108538251805957,0.03822107634873629,0.0653934606539346,10000,0.1003713582130159,False
cyp2c9_veith,AUPRC,trimole_hybrid,validation_stacking,101;202;303;404;505,101;202;303;404;505,2419,0.7924603312313264,0.7868965304793734,0.005563800751953063,-0.01019103996939508,0.020859770102075414,0.47655234476552344,10000,0.5667108964779197,False
cyp2c9_veith,AUPRC,trimole_hybrid,validation_top2_average,101;202;303;404;505,101;202;303;404;505,2419,0.7924603312313264,0.7772851023267352,0.01517522890459122,-0.0017407411056695131,0.032520288736293944,0.07939206079392061,10000,0.11908809119088092,False
cyp2c9_veith,AUPRC,trimole_hybrid,validation_top3_average,101;202;303;404;505,101;202;303;404;505,2419,0.7924603312313264,0.7773150287532995,0.015145302478026923,-0.0009714939758629247,0.0303826657325321,0.06379362063793621,10000,0.09906774028479506,False
cyp2d6_substrate_carbonmangels,AUPRC,trimole_hybrid,global_single,5;15;25;35;45,101;202;303;404;505,135,0.7477083497822772,0.6855568995580184,0.06215145022425883,-0.0005757625415564042,0.12405144181284106,0.05219478052194781,10000,0.08612138786121389,False
cyp2d6_substrate_carbonmangels,AUPRC,trimole_hybrid,per_task_single,5;15;25;35;45,101;202;303;404;505,135,0.7477083497822772,0.7026971077664207,0.04501124201585649,-0.013956981347873867,0.10503749378379292,0.1625837416258374,10000,0.21899034586337285,False
cyp2d6_substrate_carbonmangels,AUPRC,trimole_hybrid,uniform_candidate_average,5;15;25;35;45,101;202;303;404;505,135,0.7477083497822772,0.688510573157628,0.0591977766246492,-0.0012213580299773321,0.11966393840516731,0.0547945205479452,10000,0.08929477422628107,False
cyp2d6_substrate_carbonmangels,AUPRC,trimole_hybrid,validation_stacking,5;15;25;35;45,101;202;303;404;505,135,0.7477083497822772,0.5868355366705379,0.1608728131117393,0.058404520009019106,0.2304260920472878,0.0017998200179982,10000,0.004658357693642401,True
cyp2d6_substrate_carbonmangels,AUPRC,trimole_hybrid,validation_top2_average,5;15;25;35;45,101;202;303;404;505,135,0.7477083497822772,0.692349090357385,0.05535925942489217,-0.008144073026736465,0.11494210929278002,0.0963903609639036,10000,0.13829921355690517,False
cyp2d6_substrate_carbonmangels,AUPRC,trimole_hybrid,validation_top3_average,5;15;25;35;45,101;202;303;404;505,135,0.7477083497822772,0.6848944997919517,0.06281384999032547,0.004769819717427285,0.12000325922823628,0.029197080291970802,10000,0.0558552840368137,False
cyp2d6_veith,AUPRC,trimole_hybrid,global_single,1;2;3;4;5,101;202;303;404;505,2626,0.7225503496933187,0.6932964175178312,0.02925393217548744,0.013147880223752736,0.04561568871880512,0.0007999200079992001,10000,0.0022465838522530727,True
cyp2d6_veith,AUPRC,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,2626,0.7225503496933187,0.7021090148125569,0.02044133488076172,-0.0004890546544267678,0.041503148224168,0.058194180581941805,10000,0.09367843703434534,False
cyp2d6_veith,AUPRC,trimole_hybrid,uniform_candidate_average,1;2;3;4;5,101;202;303;404;505,2626,0.7225503496933187,0.6677446655740824,0.05480568411923625,0.034424204307679125,0.07585541984071648,0.00019998000199980003,10000,0.0006285085777136572,True
cyp2d6_veith,AUPRC,trimole_hybrid,validation_stacking,1;2;3;4;5,101;202;303;404;505,2626,0.7225503496933187,0.7116298351477092,0.010920514545609494,-0.004838516497479178,0.026880964643349263,0.1745825417458254,10000,0.2327767223277672,False
cyp2d6_veith,AUPRC,trimole_hybrid,validation_top2_average,1;2;3;4;5,101;202;303;404;505,2626,0.7225503496933187,0.716394164312052,0.00615618538126661,-0.00857582449163844,0.020794272854536566,0.40055994400559947,10000,0.4895732648957327,False
cyp2d6_veith,AUPRC,trimole_hybrid,validation_top3_average,1;2;3;4;5,101;202;303;404;505,2626,0.7225503496933187,0.7111798285648362,0.01137052112848247,-0.004670619474952675,0.027519153326770452,0.1765823417658234,10000,0.2330886911308869,False
cyp3a4_substrate_carbonmangels,AUROC,trimole_hybrid,global_single,1;2;3;4;5,101;202;303;404;505,135,0.6653481012658229,0.6713381555153708,-0.005990054249547905,-0.0738648211728032,0.0620474705057943,0.8633136686331366,10000,0.9044238433299526,False
cyp3a4_substrate_carbonmangels,AUROC,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,135,0.6653481012658229,0.6716772151898734,-0.006329113924050556,-0.09629143323996264,0.08253662061532419,0.8919108089191081,10000,0.9270254076954509,False
cyp3a4_substrate_carbonmangels,AUROC,trimole_hybrid,uniform_candidate_average,1;2;3;4;5,101;202;303;404;505,135,0.6653481012658229,0.671112115732369,-0.0057640144665460635,-0.08122448570154316,0.07077979618963226,0.9087091290870913,10000,0.937106289371063,False
cyp3a4_substrate_carbonmangels,AUROC,trimole_hybrid,validation_stacking,1;2;3;4;5,101;202;303;404;505,135,0.6653481012658229,0.6722423146473779,-0.006894213381555048,-0.09477377946127942,0.07758948005826222,0.8535146485351465,10000,0.9013114688531146,False
cyp3a4_substrate_carbonmangels,AUROC,trimole_hybrid,validation_top2_average,1;2;3;4;5,101;202;303;404;505,135,0.6653481012658229,0.6878390596745027,-0.022490958408679762,-0.09420653978105423,0.04740897331757985,0.5357464253574643,10000,0.6149437230190025,False
cyp3a4_substrate_carbonmangels,AUROC,trimole_hybrid,validation_top3_average,1;2;3;4;5,101;202;303;404;505,135,0.6653481012658229,0.6837703435804702,-0.018422242314647286,-0.08697813236298126,0.04892361676396022,0.6041395860413958,10000,0.6758171640463072,False
cyp3a4_veith,AUPRC,trimole_hybrid,global_single,1;2;3;4;5,101;202;303;404;505,2467,0.8859402823062066,0.8619869708150919,0.02395331149111468,0.017671252264943597,0.030254056180232837,0.00019998000199980003,10000,0.0006285085777136572,True
cyp3a4_veith,AUPRC,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,2467,0.8859402823062066,0.8641451117815533,0.021795170524653296,0.014151916274760779,0.029745669214063263,0.00019998000199980003,10000,0.0006285085777136572,True
cyp3a4_veith,AUPRC,trimole_hybrid,uniform_candidate_average,1;2;3;4;5,101;202;303;404;505,2467,0.8859402823062066,0.8644376706272318,0.021502611678974826,0.012393704640156489,0.03083714384876555,0.00019998000199980003,10000,0.0006285085777136572,True
cyp3a4_veith,AUPRC,trimole_hybrid,validation_stacking,1;2;3;4;5,101;202;303;404;505,2467,0.8859402823062066,0.8754994837531365,0.010440798553070119,0.0037605033208668454,0.01727158292971744,0.001999800019998,10000,0.005076415435379539,True
cyp3a4_veith,AUPRC,trimole_hybrid,validation_top2_average,1;2;3;4;5,101;202;303;404;505,2467,0.8859402823062066,0.8695112713005089,0.016429011005697713,0.010593399152187297,0.0223651586692209,0.00019998000199980003,10000,0.0006285085777136572,True
cyp3a4_veith,AUPRC,trimole_hybrid,validation_top3_average,1;2;3;4;5,101;202;303;404;505,2467,0.8859402823062066,0.8693306504347899,0.01660963187141673,0.01011385280871702,0.023268899050462585,0.00019998000199980003,10000,0.0006285085777136572,True
dili,AUROC,trimole_hybrid,global_single,1;2;3;4;5,101;202;303;404;505,96,0.9117391304347826,0.9043478260869565,0.007391304347826089,-0.01587301587301582,0.031031735033259428,0.5251474852514748,10000,0.6080655092385497,False
dili,AUROC,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,96,0.9117391304347826,0.8665217391304347,0.045217391304347876,-0.011408512505484802,0.10719108920163814,0.12358764123587641,10000,0.17172177519090195,False
dili,AUROC,trimole_hybrid,uniform_candidate_average,1;2;3;4;5,101;202;303;404;505,96,0.9117391304347826,0.9004347826086957,0.011304347826086913,-0.026455830559173967,0.04939023914129842,0.5531446855314468,10000,0.6294405042254394,False
dili,AUROC,trimole_hybrid,validation_stacking,1;2;3;4;5,101;202;303;404;505,96,0.9117391304347826,0.9117391304347826,0.0,-0.04676618155236577,0.04861163880445799,0.9949005099490051,10000,1.0,False
dili,AUROC,trimole_hybrid,validation_top2_average,1;2;3;4;5,101;202;303;404;505,96,0.9117391304347826,0.9039130434782608,0.00782608695652176,-0.024040178571428705,0.04214383875400818,0.6493350664933507,10000,0.7202708300598512,False
